Id,Date,Open,High,Low,Close,Shares Traded,Turnover
1,20-Mar-23,17066.6,17066.6,16828.35,16988.4,241777405.0,21454.09
2,21-Mar-23,17060.4,17127.7,17016.0,17107.5,246737873.0,22039.11
3,22-Mar-23,17177.45,17207.25,17107.85,17151.9,185700457.0,15712.0
4,23-Mar-23,17097.4,17205.4,17045.3,17076.9,219171517.0,19676.97
5,24-Mar-23,17076.2,17109.45,16917.35,16945.05,228038299.0,19019.88
6,27-Mar-23,16984.3,17091.0,16918.55,16985.7,218418670.0,18466.56
7,28-Mar-23,17031.75,17061.75,16913.75,16951.7,238840919.0,20942.5
8,29-Mar-23,16977.3,17126.15,16940.6,17080.7,345911087.0,27261.74
9,31-Mar-23,17210.35,17381.6,17204.65,17359.75,263889033.0,24970.98
10,03-Apr-23,17427.95,17428.05,17312.75,17398.05,230170687.0,20359.58
11,05-Apr-23,17422.3,17570.55,17402.7,17557.05,248345193.0,23911.75
12,06-Apr-23,17533.85,17638.7,17502.85,17599.15,242708337.0,23543.21
13,10-Apr-23,17634.9,17694.1,17597.95,17624.05,254819382.0,21092.06
14,11-Apr-23,17704.8,17748.75,17655.15,17722.3,304263454.0,25841.64
15,12-Apr-23,17759.55,17825.75,17717.25,17812.4,232816318.0,22851.93
16,13-Apr-23,17807.3,17842.15,17729.65,17828.0,285764798.0,26460.2
17,17-Apr-23,17863.0,17863.0,17574.05,17706.85,357401212.0,35118.57
18,18-Apr-23,17766.6,17766.6,17610.2,17660.15,258856690.0,23032.99
19,19-Apr-23,17653.35,17666.15,17579.85,17618.75,281463379.0,21562.08
20,20-Apr-23,17638.6,17684.45,17584.35,17624.45,215103396.0,19457.45
21,21-Apr-23,17639.75,17663.2,17553.95,17624.05,230156645.0,19091.44
22,24-Apr-23,17707.55,17754.5,17612.5,17743.4,255740393.0,23142.94
23,25-Apr-23,17761.55,17807.45,17716.85,17769.25,297445999.0,28819.53
24,26-Apr-23,17767.3,17827.75,17711.2,17813.6,233008677.0,21295.14
25,27-Apr-23,17813.1,17931.6,17797.9,17915.05,241434660.0,24454.15
26,28-Apr-23,17950.4,18089.15,17885.3,18065.0,290263674.0,27026.12
27,02-May-23,18124.8,18180.25,18101.75,18147.65,265216308.0,23615.47
28,03-May-23,18113.8,18116.35,18042.4,18089.85,226171254.0,19079.79
29,04-May-23,18081.0,18267.45,18066.7,18255.8,226643581.0,21889.48
30,05-May-23,18117.3,18216.95,18055.45,18069.0,239702311.0,26152.88
31,08-May-23,18120.6,18286.95,18100.3,18264.4,228399379.0,22687.94
32,09-May-23,18303.4,18344.2,18229.65,18265.95,245368649.0,23478.06
33,10-May-23,18313.6,18326.75,18211.95,18315.1,220450874.0,21416.41
34,11-May-23,18357.8,18389.7,18270.4,18297.0,248932544.0,26440.1
35,12-May-23,18273.75,18342.75,18194.55,18314.8,241702589.0,22046.04
36,15-May-23,18339.3,18458.9,18287.9,18398.85,216088535.0,19329.75
37,16-May-23,18432.35,18432.35,18264.35,18286.5,219490491.0,21063.78
38,17-May-23,18300.45,18309.0,18115.35,18181.75,229898510.0,20903.12
39,18-May-23,18287.5,18297.2,18104.85,18129.95,272103515.0,24172.44
40,19-May-23,18186.15,18218.1,18060.4,18203.4,260898407.0,22105.67
41,22-May-23,18201.1,18335.25,18178.85,18314.4,262560942.0,25147.58
42,23-May-23,18362.9,18419.75,18324.2,18348.0,270354216.0,28648.15
43,24-May-23,18294.8,18392.6,18262.95,18285.4,232621507.0,24273.17
44,25-May-23,18268.9,18338.1,18202.4,18321.15,235915651.0,22411.41
45,26-May-23,18368.35,18508.55,18333.15,18499.35,198668359.0,19094.08
46,29-May-23,18619.15,18641.2,18581.25,18598.65,265323978.0,19237.57
47,30-May-23,18606.65,18662.45,18575.5,18633.85,234391323.0,21660.69
48,31-May-23,18594.2,18603.9,18483.85,18534.4,696495765.0,70755.08
49,01-Jun-23,18579.4,18580.3,18464.55,18487.75,265630759.0,24056.99
50,02-Jun-23,18550.85,18573.7,18478.4,18534.1,270923679.0,23171.88
51,05-Jun-23,18612.0,18640.15,18582.8,18593.85,256111496.0,20369.16
52,06-Jun-23,18600.8,18622.75,18531.6,18599.0,220789926.0,21957.47
53,07-Jun-23,18665.6,18738.95,18636.0,18726.4,260109671.0,21482.77
54,08-Jun-23,18725.35,18777.9,18615.6,18634.55,286468927.0,22762.3
55,09-Jun-23,18655.9,18676.65,18555.4,18563.4,221760885.0,20181.42
56,12-Jun-23,18595.05,18633.6,18559.75,18601.5,179463966.0,15386.04
57,13-Jun-23,18631.8,18728.9,18631.8,18716.15,233167883.0,22612.62
58,14-Jun-23,18744.6,18769.7,18690.0,18755.9,261354575.0,19520.08
59,15-Jun-23,18774.45,18794.1,18669.05,18688.1,263004991.0,24820.77
60,16-Jun-23,18723.3,18864.7,18710.5,18826.0,272771256.0,28877.67
61,19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214.0,22699.84
62,20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257.0,19687.08
63,21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345.0,19102.48
64,22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871.0,24990.87
65,23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119.0,20619.6
66,26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325.0,17355.14
67,27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605.0,21415.89
68,28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019.0,37356.94
69,30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587.0,26376.62
70,03-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219.0,22681.54
